,name,info,multi_race,asian,hispanic,black,white,native_american
233,Aman Ali,,,,,,,
234,Arj Barker,,,,,,,
235,Jay Chandrasekhar,,,,,,,
236,Hari Kondabolu,,,,,,,
237,Adam Mamawala,,,,,,,
238,Russell Peters, born in Canada,,,,,,
239,Rajiv Satyal,,,,,,,
240,Anish Shah,,,,,,,
241,Azhar Usman,,,,,,,
242,Hasan Minhaj,,,,,,,
243,Paul Varghese, appeared on Last Comic Standing,,,,,,
244,Vikas Khanna, Michelin starred celebrity chef,,,,,,
245,H. Jay Dinshah, founded the American Vegan Society,,,,,,
246,Raghavan Iyer, chef,,,,,,
247,Jehangir Mehta, celebrity chef,,,,,,
248,Rajat Parr, sommelier,,,,,,
249,Naeem Khan,,,,,,,
250,Vashtie Kola,,,,,,,
251,Bibhu Mohapatra,,,,,,,
252,Christine Philip,,,,,,,
253,Rachel Roy,,,,,,,
254,Anchal Joseph, contestant on Cycle 7 of America's Next Top Model,,,,,,
255,Pooja Kumar, model,,,,,,
256,Padma Lakshmi, model,,,,,,
257,Akshay Kapoor, model,,,,,,
258,Deepak Ananthapadmanabha, online journalist,,,,,,
259,Erik Angra, documentary filmmaker,,,,,,
260,Asha Blake, Emmy award-winning journalist; works for KTLA-TV in Los Angeles,,,,,,
261,Sanjay Gupta, Journalist,,,,,,
262,Rajiv Chandrasekaran, assistant managing editor for continuous news,,,,,,
263,Syma Chowdhry, television host,,,,,,
264,Priya David, correspondent for CBS News,,,,,,
265,Dinesh D'Souza, political commentator,,,,,,
266,Deepa Fernandes, host of the WBAI radio program Wakeup Call,,,,,,
267,Deepti Hajela, journalist for the Associated Press,,,,,,
268,Pico Iyer, author and journalist for Time magazine,,,,,,
269,Shibani Joshi, reporter for the Fox Business Network,,,,,,
270,Sukanya Krishnan, news anchor for CW 11 Morning News on WPIX,,,,,,
271,Mish Michaels, meteorologist for the WBZ-TV Weather Team,,,,,,
272,Vinita Nair, anchor of World News Now and America This Morning on ABC,,,,,,
273,Kevin Negandhi, sports anchor for ESPN SportsCenter,,,,,,
274,Reena Ninan, Middle East correspondent for Fox News Channel,,,,,,
275,Asra Nomani, journalist,,,,,,
276,Uma Pemmaraju, senior news anchor for Fox News Channel,,,,,,
277,Ramesh Ponnuru, senior editor of the National Review magazine,,,,,,
278,Ash-har Quraishi, correspondent,,,,,,
279,Gopal Raju, pioneer of Indian American ethnic media,,,,,,
280,Aneesh Raman, first Indian-American Presidential speechwriter under President Barack Obama,,,,,,
281,Shihab Rattansi, CNN International anchor; news anchor for Al Jazeera English,,,,,,
282,Simran Sethi, journalist,,,,,,
283,Alpana Singh, television personality,,,,,,
284,Hari Sreenivasan, correspondent for CBS News and the PBS NewsHour,,,,,,
285,Sreenath Sreenivasan, Columbia University professor; WABC-TV technology reporter,,,,,,
286,Ali Velshi, business news anchor for CNN,,,,,,
287,Zain Verjee, CNN anchor,,,,,,
288,Fareed Zakaria, columnist for Time magazine and host of Fareed Zakaria GPS on CNN,,,,,,
289,Sandeep Das, won the Grammy award for Best World Music Album,,,,,,
290,Sonika Vaid, Indian-American singer,,,,,,
291,Bamboo Shoots, dance-rock band,,,,,,
292,Mr. Capone-E, West Coast Rapper,,,,,,
293,Jeff Bhasker, producer,,,,,,
294,Sameer Bhattacharya, one of two guitarists in the Texas alternative rock band Flyleaf,,,,,,
295,Das Racist, alternative hip hop group; two of the three members are Indian,,,,,,
296,Anoop Desai, finalist on the eighth season of American Idol,,,,,,
297,Falu, singer and songwriter,,,,,,
298,Sameer Gadhia, lead vocalist in Young the Giant,,,,,,
299,Ravi Hutheesing, singer-songwriter,,,,,,
300,Daya, singer,,,,,,
301,Vijay Iyer, jazz musician and composer,,,,,,
302,Sunny Jain, dhol player,,,,,,
303,Norah Jones, singer,,,,,,
304,Karsh Kale, Indian producer,,,,,,
305,Tony Kanal, two-time Grammy Award winner,,,,,,
306,Savan Kotecha, songwriter,,,,,,
307,KSHMR, electronic musician,,,,,,
308,Arun Luthra, jazz musician,,,,,,
309,Sanjaya Malakar, finalist on the sixth season of American Idol,,,,,,
310,Mathai, finalist on season 2 of The Voice,,,,,,
311,Zarin Mehta, executive director of the New York Philharmonic Orchestra,,,,,,
312,Zubin Mehta, former conductor,,,,,,
313,Sanjay Mishra, guitarist and composer,,,,,,
314,Vasant Rai, performer of Indian music,,,,,,
315,Paul Sabu, producer,,,,,,
316,Shaheen Sheik, songwriter,,,,,,
317,Bikram Singh, singer,,,,,,
318,Ambi Subramaniam, violinist and composer,,,,,,
319,Bindu Subramaniam, singer-songwriter,,,,,,
320,Kim Thayil, named among 100th greatest guitarists of all time by Rolling Stone,,,,,,
321,Zoya, a California-based singer and guitarist,,,,,,
322,Nav (rapper), a Canada-based rapper and producer,,,,,,
323,Sanjay Patel An animator and director and also illustrator of Pixar,,,,,,,
324,Shirish Korde, Composer,,,,,,
325,Prith Banerjee, Managing Director of Global Technology R&D at Accenture,,,,,,
326,Ajay Banga, President and CEO of MasterCard,,,,,,
327,Anu Aiyengar, Managing director of North American mergers and acquisitions of JPMorgan Chase & Co,,,,,,
328,Francis deSouza, CEO of Illumina,,,,,,
329,Rono Dutta, former President of United Airlines; Chairman of Air Sahara,,,,,,
330,Asim Ghosh, President and Chief Executive Officer at Husky Energy,,,,,,
331,Rajiv Gupta, CEO of SkyHigh Networks,,,,,,
332,Ajit Jain, President of Berkshire Hathaway Reinsurance Group,,,,,,
333,Anshu Jain, former co-CEO of Deutsche Bank,,,,,,
334,Sanjay Jha, CEO of Global Foundries and former CEO of Motorola Mobile Devices,,,,,,
335,Thomas Kurian, President of Product Development at Oracle Corporation,,,,,,
336,Victor Menezes, Chairman of Clearing House Association; former Chairman and CEO of Citibank,,,,,,
337,Satya Nadella, CEO of Microsoft,,,,,,
338,Ranji H. Nagaswami, Chief Investment Officer for AllianceBernstein Fund Investors,,,,,,
339,Shantanu Narayen, CEO of Adobe Systems,,,,,,
340,Indra Nooyi, Chairman and CEO of PepsiCo,,,,,,
341,Amit Munjal, founder and CEO of Doctor Insta and Former CFO of Citi Holdings,,,,,,
342,Dinesh Paliwal, Chairman and CEO of Harman International,,,,,,
343,Sundar Pichai, CEO of Google Inc.,,,,,,
344,Arati Prabhakar, Director of DARPA,,,,,,
345,Prakash Puram, President and CEO of iXmatch,,,,,,
346,Abbas Sadriwala, Chairman and CEO of the Fort Lauderdale-based Wireless Logix Group,,,,,,
347,Rajeev Suri, CEO of Nokia,,,,,,
348,Sonny Mehta, Chairman/Editor in chief of Alfred A. Knopf,,,,,,
349,Abhi Talwalkar, President and CEO of LSI Corporation,,,,,,
350,Padmasree Warrior, CEO of NIO (car company),,,,,,
351,Sandeep Tyagi, Chairman/Managing Director of Estee Advisors,,,,,,
352,Nikesh Arora, former Senior Vice President and Chief Business Officer of Google; former COO and President of SoftBank,,,,,,
353,Samir Arora, former CEO of Mode Media,,,,,,
354,Ramani Ayer, former Chairman and CEO of The Hartford Financial Services Group,,,,,,
355,Rakesh Gangwal, former CEO and Chairman of US Airways Group,,,,,,
356,Rajat Gupta, former Managing Director of McKinsey & Company,,,,,,
357,Umang Gupta, former CEO of Keynote Systems,,,,,,
358,Vyomesh Joshi, former Executive Vice President of Imaging and Printing Group,,,,,,
359,Anil Kumar, former Senior Partner and Chairman,,,,,,
360,Sanjay Kumar, former CEO of Computer Associates International,,,,,,
361,Bobby Mehta, former CEO and Vice Chairman of HSBC North America and former CEO of Transunion Company,,,,,,
362,Lakshmi Narayanan, Vice Chairman and former CEO of Cognizant Corporation,,,,,,
363,Vikram Pandit, former CEO of Citigroup,,,,,,
364,Vivek Ranadivé, former CEO of TIBCO Software,,,,,,
365,Kanwal Rekhi, former EVP and CTO of Novell,,,,,,
366,Arun Sarin, former president of Vodafone Group plc,,,,,,
367,Deven Sharma, former president of Standard & Poor's,,,,,,
368,Jay Sidhu, former Chairman and CEO of Sovereign Bancorp,,,,,,
369,Pradeep Sindhu, founder and CTO of Juniper Networks,,,,,,
370,Manoj Bhargava, founder and CEO of Innovations Ventures LLC; the company is known for producing the 5-hour Energy drink,,,,,,
371,Aneel Bhusri, co-founder and CEO of Workday,,,,,,
372,Amar Bose, founder and chairman of Bose Corporation,,,,,,
373,Bharat Desai, co-founder and chairman of Syntel,,,,,,
374,Sant Singh Chatwal, owner of the Bombay Palace chain of restaurants and Hampshire Hotels & Resorts,,,,,,
375,John Kapoor, founder and executive chairman of Insys Therapeutics,,,,,,
376,Vinod Khosla, founder of Khosla Ventures; co-founder of SUN Microsystems,,,,,,
377,Ram Shriram, venture fund capitalist and one of the first investors in Google,,,,,,
378,Romesh Wadhwani, founder,,,,,,
379,Somen Banerjee, co-founder of Chippendales,,,,,,
380,Ajit Gupta, founder and CEO of Speedera Networks,,,,,,
381,Agha Shahid Ali, poet,,,,,,
382,Shauna Singh Baldwin, novelist,,,,,,
383,Ravi Batra, bestselling author and economist,,,,,,
384,Susham Bedi, author,,,,,,
385,Anita Desai, novelist; shortlisted for the Booker prize three times; mother of Kiran Desai,,,,,,
386,Kiran Desai, winner of the 2006 Man Booker Prize,,,,,,
387,Ghalib Shiraz Dhalla, author,,,,,,
388,Chitra Banerjee Divakaruni, author,,,,,,
389,Anu Garg, author,,,,,,
390,Amitav Ghosh, Indo-nostalgic writer and winner of Prix Médicis étranger,,,,,,
391,Usha Haley, author,,,,,,
392,Rajiv Joseph, playwright,,,,,,
393,S. T. Joshi, literary critic,,,,,,
394,Siddharth Katragadda, author,,,,,,
395,Parag Khanna, author,,,,,,
396,Jhumpa Lahiri, Pulitzer Prize-winning author,,,,,,
397,Davan Maharaj, journalist and former editor-in-chief and publisher of the Los Angeles Times,,,,,,
398,Tulika Mehrotra, author,,,,,,
399,Dhan Gopal Mukerji, first successful Indian man of letters in the US; winner of the Newbery Medal,,,,,,
400,Bharati Mukherjee, author,,,,,,
401,Siddhartha Mukherjee, physician,,,,,,
402,Aimee Nezhukumatathil, poet,,,,,,
403,Indira Viswanathan Peterson, literary critic,,,,,,
404,Janaki Ram, author,,,,,,
405,Rishi Reddi, author,,,,,,
406,Saumitra Saxena, Hindi poet,,,,,,
407,Vijay Seshadri, Pulitzer Prize-winning poet and essayist,,,,,,
408,Vikram Seth, poet,,,,,,
409,Ravi Shankar, poet,,,,,,
410,Indu Sundaresan, author,,,,,,
411,Thrity Umrigar, author of Bombay Time,,,,,,
412,Abraham Verghese, doctor and author; wrote In My Own Country and My Tennis Partner,,,,,,
413,Kaavya Viswanathan, novelist,,,,,,
414,Ramya Ramana, poet,,,,,,
415,Roshani Chokshi novelist,,,,,,,
416,Joe Roche, Iraq war veteran and conservative political commentator,,,,,,
417,Uday Singh Taunque, first Indian American to die in Operation Iraqi Freedom; posthumously awarded Bronze Star and Purple Heart gallantry awards,,,,,,
418,Sunita Williams, astronaut and former Navy officer,,,,,,
419,John Abraham, former mayor of Teaneck,,,,,,
420,Saqib Ali, former member of the Maryland House of Delegates (Democratic),,,,,,
421,"Harvinder ""Harry"" Anand", mayor of Laurel Hollow,,,,,,
422,Sam Arora, member of the Maryland House of Delegates (Democratic),,,,,,
423,Kumar P. Barve, member of the Maryland House of Delegates (majority leader) (Democratic),,,,,,
424,Ravinder Bhalla – mayor, Hoboken,,,,,,
